date,base_menu
2026-02-02,생고기김치찌개
2026-02-03,소고기무국
2026-02-04,오삼불고기
2026-02-05,소고기우거지된장국
2026-02-06,순두부찌개
2026-02-09,차돌된장찌개
2026-02-10,제육볶음
2026-02-11,감자탕(순살)
2026-02-12,콩나물국(확인필요)
2026-02-13,순살닭정식
2026-02-19,부대찌개
2026-02-20,김치제육볶음
2026-02-23,육개장
2026-02-24,소고기미역국
2026-02-25,닭곰탕
2026-02-26,간장불고기
2026-02-27,참치김치찌개
